close,open,high,low,volume,Date
72734.0,71308.0,73209.0,71022.0,3137000,2022-10-18 07:00:00+07:00
72829.0,72353.0,73019.0,72353.0,1038000,2022-10-19 07:00:00+07:00
73684.0,72829.0,73684.0,72068.0,2290400,2022-10-20 07:00:00+07:00
73209.0,73684.0,74540.0,72734.0,2097600,2022-10-21 07:00:00+07:00
70357.0,73399.0,73399.0,70357.0,1578600,2022-10-24 07:00:00+07:00
72258.0,70452.0,73019.0,70452.0,1657600,2022-10-25 07:00:00+07:00
72258.0,72258.0,72639.0,71878.0,824700,2022-10-26 07:00:00+07:00
74635.0,72258.0,74635.0,72258.0,2283600,2022-10-27 07:00:00+07:00
74160.0,74635.0,74730.0,73875.0,1438800,2022-10-28 07:00:00+07:00
74635.0,73875.0,74635.0,73494.0,1572200,2022-10-31 07:00:00+07:00
76251.0,74635.0,78438.0,74635.0,3180100,2022-11-01 07:00:00+07:00
74445.0,76251.0,76347.0,74445.0,1830500,2022-11-02 07:00:00+07:00
76061.0,74160.0,76727.0,74160.0,1278300,2022-11-03 07:00:00+07:00
76061.0,75966.0,77012.0,74160.0,2909200,2022-11-04 07:00:00+07:00
78153.0,76156.0,78153.0,76061.0,2638300,2022-11-07 07:00:00+07:00
78343.0,78153.0,78343.0,75681.0,2301400,2022-11-08 07:00:00+07:00
76917.0,77963.0,78153.0,76061.0,2701100,2022-11-09 07:00:00+07:00
74540.0,76917.0,77012.0,73209.0,2637600,2022-11-10 07:00:00+07:00
74540.0,75015.0,76442.0,74540.0,1564400,2022-11-11 07:00:00+07:00
75111.0,74160.0,77963.0,72353.0,2596800,2022-11-14 07:00:00+07:00
73209.0,75111.0,75491.0,72734.0,2089600,2022-11-15 07:00:00+07:00
70832.0,71783.0,74920.0,70167.0,3542600,2022-11-16 07:00:00+07:00
72258.0,73019.0,74445.0,71403.0,2599500,2022-11-17 07:00:00+07:00
73209.0,73209.0,73970.0,71973.0,2229300,2022-11-18 07:00:00+07:00
74065.0,73209.0,74065.0,73114.0,1787400,2022-11-21 07:00:00+07:00
75586.0,73684.0,76251.0,73589.0,2281200,2022-11-22 07:00:00+07:00
75491.0,75586.0,75776.0,74445.0,773100,2022-11-23 07:00:00+07:00
77202.0,75111.0,77202.0,75015.0,2881100,2022-11-24 07:00:00+07:00
78153.0,77297.0,78628.0,77012.0,2596100,2022-11-25 07:00:00+07:00
77678.0,77963.0,79294.0,77678.0,2299200,2022-11-28 07:00:00+07:00
78914.0,77297.0,79199.0,76537.0,2404200,2022-11-29 07:00:00+07:00
78723.0,78914.0,78914.0,77487.0,1995600,2022-11-30 07:00:00+07:00
78343.0,77583.0,78819.0,77583.0,2216800,2022-12-01 07:00:00+07:00
79864.0,78248.0,79864.0,77963.0,2521800,2022-12-02 07:00:00+07:00
80815.0,79959.0,81386.0,79959.0,2066000,2022-12-05 07:00:00+07:00
78438.0,80815.0,80910.0,78438.0,1395300,2022-12-06 07:00:00+07:00
78438.0,78914.0,80150.0,77773.0,1839600,2022-12-07 07:00:00+07:00
77012.0,78914.0,79864.0,77012.0,1597100,2022-12-08 07:00:00+07:00
76061.0,77012.0,77773.0,76061.0,2408500,2022-12-09 07:00:00+07:00
74635.0,76347.0,77868.0,74540.0,3142700,2022-12-12 07:00:00+07:00
74160.0,74730.0,75491.0,73399.0,3610400,2022-12-13 07:00:00+07:00
73684.0,75491.0,75491.0,73684.0,3522100,2022-12-14 07:00:00+07:00
73779.0,73684.0,75301.0,73494.0,2595300,2022-12-15 07:00:00+07:00
74160.0,73875.0,74920.0,73779.0,3002000,2022-12-16 07:00:00+07:00
73209.0,74635.0,74635.0,73209.0,2422700,2022-12-19 07:00:00+07:00
74825.0,73494.0,75776.0,73114.0,3030300,2022-12-20 07:00:00+07:00
75776.0,75776.0,76632.0,75586.0,2305500,2022-12-21 07:00:00+07:00
74521.0,76747.0,76940.0,74521.0,1587300,2022-12-22 07:00:00+07:00
73746.0,74617.0,75682.0,73746.0,1561800,2022-12-23 07:00:00+07:00
73553.0,73940.0,75101.0,73456.0,1657600,2022-12-26 07:00:00+07:00
74133.0,74327.0,75488.0,73553.0,1586800,2022-12-27 07:00:00+07:00
74521.0,74230.0,75488.0,74133.0,1188500,2022-12-28 07:00:00+07:00
74521.0,74908.0,75682.0,74521.0,1329700,2022-12-29 07:00:00+07:00
73650.0,75488.0,75488.0,73650.0,1199300,2022-12-30 07:00:00+07:00
75972.0,74037.0,75972.0,73746.0,1496000,2023-01-03 07:00:00+07:00
76747.0,76166.0,76747.0,76069.0,1089800,2023-01-04 07:00:00+07:00
78585.0,76747.0,78779.0,76456.0,2469800,2023-01-05 07:00:00+07:00
77230.0,78392.0,78585.0,77037.0,1269700,2023-01-06 07:00:00+07:00
78101.0,77327.0,78101.0,77037.0,948300,2023-01-09 07:00:00+07:00
78392.0,78295.0,78876.0,78005.0,1196000,2023-01-10 07:00:00+07:00
76843.0,78392.0,78972.0,76843.0,1534700,2023-01-11 07:00:00+07:00
77424.0,77327.0,77618.0,76747.0,684900,2023-01-12 07:00:00+07:00
78005.0,77618.0,78489.0,77521.0,1449000,2023-01-13 07:00:00+07:00
76843.0,78005.0,78198.0,76843.0,654700,2023-01-16 07:00:00+07:00
78295.0,77618.0,78392.0,76843.0,1671400,2023-01-17 07:00:00+07:00
78682.0,78295.0,78876.0,78101.0,1297900,2023-01-18 07:00:00+07:00
78682.0,78198.0,78876.0,77424.0,2627700,2023-01-19 07:00:00+07:00
77424.0,78779.0,79263.0,77037.0,2331800,2023-01-27 07:00:00+07:00
76843.0,77424.0,77424.0,76843.0,1614000,2023-01-30 07:00:00+07:00
74617.0,76650.0,76940.0,74424.0,4817500,2023-01-31 07:00:00+07:00
74714.0,75198.0,75295.0,74424.0,1810400,2023-02-01 07:00:00+07:00
74230.0,74908.0,75005.0,74230.0,1494400,2023-02-02 07:00:00+07:00
73553.0,74521.0,74617.0,73456.0,1855200,2023-02-03 07:00:00+07:00
74908.0,73456.0,75005.0,73456.0,1910700,2023-02-06 07:00:00+07:00
73650.0,75101.0,75101.0,73650.0,1274400,2023-02-07 07:00:00+07:00
73359.0,73746.0,74133.0,73262.0,1550000,2023-02-08 07:00:00+07:00
72585.0,73359.0,73553.0,72585.0,1593600,2023-02-09 07:00:00+07:00
73456.0,72585.0,73456.0,72585.0,1236100,2023-02-10 07:00:00+07:00
72875.0,73456.0,73456.0,71714.0,1569000,2023-02-13 07:00:00+07:00
72295.0,72875.0,73262.0,72004.0,1073500,2023-02-14 07:00:00+07:00
73553.0,72295.0,73553.0,72004.0,1443500,2023-02-15 07:00:00+07:00
74037.0,73553.0,74037.0,73166.0,691300,2023-02-16 07:00:00+07:00
73553.0,73650.0,73940.0,72875.0,777000,2023-02-17 07:00:00+07:00
75005.0,73553.0,75005.0,73069.0,1385300,2023-02-20 07:00:00+07:00
74714.0,75005.0,75101.0,74230.0,888300,2023-02-21 07:00:00+07:00
73069.0,73843.0,74230.0,73069.0,1295600,2023-02-22 07:00:00+07:00
73262.0,73069.0,74424.0,72004.0,2327900,2023-02-23 07:00:00+07:00
72295.0,73262.0,73553.0,72101.0,1681000,2023-02-24 07:00:00+07:00
72779.0,72295.0,73456.0,71617.0,1112500,2023-02-27 07:00:00+07:00
73069.0,73069.0,73456.0,72682.0,1034300,2023-02-28 07:00:00+07:00
74424.0,72682.0,74521.0,72585.0,1635500,2023-03-01 07:00:00+07:00
74037.0,74424.0,74424.0,73650.0,1088800,2023-03-02 07:00:00+07:00
73553.0,72585.0,74327.0,72585.0,704200,2023-03-03 07:00:00+07:00
72585.0,73553.0,74133.0,72585.0,891800,2023-03-06 07:00:00+07:00
73359.0,73456.0,73746.0,73069.0,1170900,2023-03-07 07:00:00+07:00
74037.0,72779.0,74037.0,72585.0,1244400,2023-03-08 07:00:00+07:00
74037.0,73746.0,74617.0,73746.0,1389700,2023-03-09 07:00:00+07:00
74424.0,74037.0,74714.0,73650.0,1427700,2023-03-10 07:00:00+07:00
